Name,BITS-ID,Email,Branch
SUNNY SURANA,2022B4PS0003P,2022B4PS0003P@pilani-dummy.com,Computer Science
SAMARTH SRIVASTAVA,2022B3PS0005P,2022B3PS0005P@pilani-dummy.com,Computer Science
HARSHIT CHAUDHARY,2022AAPS0031P,2022AAPS0031P@pilani-dummy.com,Computer Science
ADITYA AGRAWAL,2022B2PS0040P,2022B2PS0040P@pilani-dummy.com,Computer Science
DHRUVIT SINGHAL,2022A8PS0048P,2022A8PS0048P@pilani-dummy.com,Computer Science
ANIMISH SINGH RAJPUT,2022A7PS0065P,2022A7PS0065P@pilani-dummy.com,Computer Science
ROMIT KUMAR,2022A4PS0195P,2022A4PS0195P@pilani-dummy.com,Computer Science
AYUSH AGRAWAL,2022AAPS0202P,2022AAPS0202P@pilani-dummy.com,Computer Science
SUYASH JAIN,2022A7PS0242P,2022A7PS0242P@pilani-dummy.com,Computer Science
ANSIH GARG,2022B5PS0260P,2022B5PS0260P@pilani-dummy.com,Computer Science
PRANEETA LOHAN,2022B4PS0350P,2022B4PS0350P@pilani-dummy.com,Computer Science
ADITYA RAJ PANDIT,2022A3PS0380P,2022A3PS0380P@pilani-dummy.com,Computer Science
AARYAN ARORA,2022ABPS0492P,2022ABPS0492P@pilani-dummy.com,Computer Science
SAHEETYA SINGH,2022B4PS0520P,2022B4PS0520P@pilani-dummy.com,Computer Science
ARYAN GUPTA,2022B3PS0499P,2022B3PS0499P@pilani-dummy.com,Computer Science
ARYAN KESAR,2022A4PS0638P,2022A4PS0638P@pilani-dummy.com,Computer Science
ADITYA YUS,2022B3PS0986P,2022B3PS0986P@pilani-dummy.com,Computer Science
SARTHAK BANSAL,2022B5PS0956P,2022B5PS0956P@pilani-dummy.com,Computer Science
SHREERAM,2022B1PS1082P,2022B1PS1082P@pilani-dummy.com,Computer Science
HARSHIT,2022A3PS8871P,2022A3PS8871P@pilani-dummy.com,Computer Science
SUAPNIL KOTHARIANA,2022B3A34545P,2022B3A34545P@pilani-dummy.com,Computer Science
AARYAMAN,2022B2A71111P,2022B2A71111P@pilani-dummy.com,Computer Science
